year,ppm
1995.2877,360.85
1995.3699,360.66
1995.4548,360.87
1995.537,361.08
1995.6219,360.83
1995.7068,361.29
1995.789,361.14
1995.874,361.71
1995.9562,361.6
1996.041,362.03
1996.1257,362.55
1996.2049,362.54
1996.2896,362.08
1996.3716,362.27
1996.4563,362.59
1996.5383,362.86
1996.623,362.89
1996.7077,362.71
1996.7896,362.99
1996.8743,362.9
1996.9563,363.23
1997.0411,363.17
1997.126,363.3
1997.2027,363.1
1997.2877,363.74
1997.3699,363.64
1997.4548,363.21
1997.537,363.65
1997.6219,363.88
1997.7068,363.44
1997.789,364.18
1997.874,364.59
1997.9562,365.18
1998.0411,365.31
1998.126,365.45
1998.2027,365.85
1998.2877,365.99
1998.3699,366.13
1998.4548,366.46
1998.537,366.82
1998.6219,367.16
1998.7068,367.17
1998.789,367.65
1998.874,367.62
1998.9562,367.87
1999.0411,368.14
1999.126,368.17
1999.2027,368.12
1999.2877,368.51
1999.3699,367.82
1999.4548,367.92
1999.537,368.44
1999.6219,368.32
1999.7068,367.91
1999.789,368.55
1999.874,368.85
1999.9562,368.91
2000.041,369.12
2000.1257,368.76
2000.2049,369.01
2000.2896,369
2000.3716,368.64
2000.4563,369.29
2000.5383,369.32
2000.623,369.54
2000.7077,369.92
2000.7896,370.16
2000.8743,370.46
2000.9563,370.44
2001.0411,370.27
2001.126,370.79
2001.2027,370.64
2001.2877,370.22
2001.3699,370.82
2001.4548,370.86
2001.537,370.79
2001.6219,370.95
2001.7068,371.25
2001.789,371.54
2001.874,371.86
2001.9562,372.15
2002.0411,372.42
2002.126,372.38
2002.2027,372.04
2002.2877,372.2
2002.3699,372.35
2002.4548,372.96
2002.537,373.19
2002.6219,372.89
2002.7068,374.01
2002.789,373.7
2002.874,374.27
2002.9562,374.7
2003.0411,374.67
2003.126,374.91
2003.2027,374.62
2003.2877,374.99
2003.3699,375.14
2003.4548,375.67
2003.537,375.77
2003.6219,375.89
2003.7068,376.29
2003.789,376.47
2003.874,376.54
2003.9562,376.61
2004.041,376.77
2004.1257,376.65
2004.2049,376.88
2004.2896,377.81
2004.3716,377.39
2004.4563,377.11
2004.5383,376.96
2004.623,377.28
